course,meters,stroke,sex,relaycount,basetime
LCM,50,Fly,Female,0,2443
LCM,50,Fly,Male,0,2227
LCM,100,Fly,Female,0,5460
LCM,100,Fly,Male,0,4945
LCM,200,Fly,Female,0,12181
LCM,200,Fly,Male,0,11034
LCM,50,Back,Female,0,2686
LCM,50,Back,Male,0,2355
LCM,100,Back,Female,0,5713
LCM,100,Back,Male,0,5160
LCM,200,Back,Female,0,12314
LCM,200,Back,Male,0,11192
LCM,50,Breast,Female,0,2916
LCM,50,Breast,Male,0,2595
LCM,100,Breast,Female,0,6413
LCM,100,Breast,Male,0,5688
LCM,200,Breast,Female,0,13755
LCM,200,Breast,Male,0,12548
LCM,50,Free,Female,0,2361
LCM,50,Free,Male,0,2091
LCM,100,Free,Female,0,5171
LCM,100,Free,Male,0,4640
LCM,200,Free,Female,0,11223
LCM,200,Free,Male,0,10200
LCM,400,Free,Female,0,23418
LCM,400,Free,Male,0,21996
LCM,800,Free,Female,0,48412
LCM,800,Free,Male,0,45212
LCM,1500,Free,Female,0,92048
LCM,1500,Free,Male,0,87067
LCM,200,Medley,Female,0,12570
LCM,200,Medley,Male,0,11269
LCM,400,Medley,Female,0,26365
LCM,400,Medley,Male,0,24250
LCM,100,Free,Female,4,20796
LCM,100,Free,Male,4,18824
LCM,100,Free,Mixed,4,19848
LCM,200,Free,Female,4,45750
LCM,200,Free,Male,4,41855
LCM,100,Medley,Female,4,22934
LCM,100,Medley,Male,4,20678
LCM,100,Medley,Mixed,4,21743
SCM,50,Fly,Female,0,2394
SCM,50,Fly,Male,0,2132
SCM,100,Fly,Female,0,5271
SCM,100,Fly,Male,0,4771
SCM,200,Fly,Female,0,11932
SCM,200,Fly,Male,0,10685
SCM,50,Back,Female,0,2523
SCM,50,Back,Male,0,2211
SCM,100,Back,Female,0,5402
SCM,100,Back,Male,0,4833
SCM,200,Back,Female,0,11804
SCM,200,Back,Male,0,10563
SCM,50,Breast,Female,0,2837
SCM,50,Breast,Male,0,2495
SCM,100,Breast,Female,0,6236
SCM,100,Breast,Male,0,5528
SCM,200,Breast,Female,0,13250
SCM,200,Breast,Male,0,12016
SCM,50,Free,Female,0,2283
SCM,50,Free,Male,0,1990
SCM,100,Free,Female,0,5025
SCM,100,Free,Male,0,4484
SCM,200,Free,Female,0,11031
SCM,200,Free,Male,0,9861
SCM,400,Free,Female,0,23025
SCM,400,Free,Male,0,21225
SCM,800,Free,Female,0,47742
SCM,800,Free,Male,0,44046
SCM,1500,Free,Female,0,90824
SCM,1500,Free,Male,0,84688
SCM,100,Medley,Female,0,5511
SCM,100,Medley,Male,0,4928
SCM,200,Medley,Female,0,12163
SCM,200,Medley,Male,0,10888
SCM,400,Medley,Female,0,25548
SCM,400,Medley,Male,0,23481
SCM,50,Free,Female,4,9250
SCM,50,Free,Male,4,8180
SCM,50,Free,Mixed,4,8733
SCM,100,Free,Female,4,20501
SCM,100,Free,Male,4,18166
SCM,200,Free,Female,4,45013
SCM,200,Free,Male,4,40051
SCM,50,Medley,Female,4,10235
SCM,50,Medley,Male,4,8972
SCM,50,Medley,Mixed,4,9515
SCM,100,Medley,Female,4,22041
SCM,100,Medley,Male,4,19868
