course,meters,stroke,sex,relaycount,msmk,ms,kms,i,ii,iii,i_yun,ii_yun
LCM,50,Fly,Female,0,2579,2825,3130,3330,3580,3880,0,0
LCM,50,Fly,Male,0,2310,2490,2680,2830,3280,3680,0,0
LCM,100,Fly,Female,0,5772,6340,6870,7320,8320,9320,0,0
LCM,100,Fly,Male,0,5124,5590,6070,6470,7140,8270,0,0
LCM,200,Fly,Female,0,12828,14075,15000,16050,18450,20750,0,0
LCM,200,Fly,Male,0,11551,12675,13350,14250,16200,18450,0,0
LCM,50,Back,Female,0,2775,2920,3230,3350,3580,3830,0,0
LCM,50,Back,Male,0,2475,2685,2880,3050,3380,3680,0,0
LCM,100,Back,Female,0,5968,6640,7020,7420,8220,9020,0,0
LCM,100,Back,Male,0,5349,5890,6370,6820,7520,8470,0,0
LCM,200,Back,Female,0,12875,14175,15300,16300,18500,20900,0,0
LCM,200,Back,Male,0,11640,12855,13500,14200,16200,18650,0,0
LCM,50,Breast,Female,0,3063,3340,3530,3700,4030,4430,0,0
LCM,50,Breast,Male,0,2697,2920,3130,3280,3630,4130,0,0
LCM,100,Breast,Female,0,6686,7390,7970,8420,9220,10220,0,0
LCM,100,Breast,Male,0,5963,6490,6870,7220,8020,9070,0,0
LCM,200,Breast,Female,0,14484,15825,16800,17900,19550,21450,0,0
LCM,200,Breast,Male,0,12992,14225,15150,16400,17750,19450,0,0
LCM,50,Free,Female,0,2468,2670,2780,2930,3330,3730,0,0
LCM,50,Free,Male,0,2179,2340,2480,2580,2980,3430,0,0
LCM,100,Free,Female,0,5371,5790,6270,6670,7270,8270,0,0
LCM,100,Free,Male,0,4797,5190,5570,5970,6770,7570,0,0
LCM,200,Free,Female,0,11647,12725,13600,14400,16050,17750,0,0
LCM,200,Free,Male,0,10578,11475,12250,13200,14950,16850,0,0
LCM,400,Free,Female,0,24736,26900,28350,30600,34700,39250,0,0
LCM,400,Free,Male,0,22660,24500,26150,28150,31700,36800,0,0
LCM,800,Free,Female,0,50945,55200,60000,63750,72050,82600,0,0
LCM,800,Free,Male,0,47050,50900,55300,58500,64500,76600,0,0
LCM,1500,Free,Female,0,97544,106500,118800,125000,142000,170250,0,0
LCM,1500,Free,Male,0,89962,97500,105250,112100,125200,147400,0,0
LCM,200,Medley,Female,0,13061,14475,15450,16400,18550,20450,0,0
LCM,200,Medley,Male,0,11801,12975,13800,14800,16600,18250,0,0
LCM,400,Medley,Female,0,27865,30700,32950,35000,39750,44000,0,0
LCM,400,Medley,Male,0,25340,27700,29400,31150,35350,39800,0,0
SCM,50,Fly,Female,0,0,2750,3080,3280,3530,3830,5080,5580
SCM,50,Fly,Male,0,0,2415,2650,2780,3180,3630,4480,5080
SCM,100,Fly,Female,0,0,6190,6720,7220,8220,9220,10970,12150
SCM,100,Fly,Male,0,0,5400,5920,6320,7020,8220,9470,10950
SCM,200,Fly,Female,0,0,13775,14700,15650,18150,20500,23150,26200
SCM,200,Fly,Male,0,0,12375,13050,13950,16000,18400,21450,23700
SCM,50,Back,Female,0,0,2885,3130,3280,3530,3830,4980,5880
SCM,50,Back,Male,0,0,2600,2780,3080,3280,3580,4480,5080
SCM,100,Back,Female,0,0,6400,6920,7270,8070,8870,10570,12850
SCM,100,Back,Male,0,0,5740,6170,6670,7420,8320,9470,10950
SCM,200,Back,Female,0,0,13875,15050,15950,18150,20700,22750,27600
SCM,200,Back,Male,0,0,12555,13250,13900,15900,18400,21250,25100
SCM,50,Breast,Female,0,0,3265,3480,3630,3930,27330,5780,6380
SCM,50,Breast,Male,0,0,2845,3030,3180,3580,4030,5180,5580
SCM,100,Breast,Female,0,0,7240,7820,8320,9120,10120,12370,13650
SCM,100,Breast,Male,0,0,6340,6720,7120,7970,8920,10970,12350
SCM,200,Breast,Female,0,0,15525,16500,17600,19400,21250,25550,29200
SCM,200,Breast,Male,0,0,13925,14900,16100,17550,19300,22950,26500
SCM,50,Free,Female,0,0,2595,2730,2880,3180,3550,4180,4880
SCM,50,Free,Male,0,0,2265,2380,2480,2980,3230,3880,4580
SCM,100,Free,Female,0,0,5640,6170,6520,7170,8120,9370,11350
SCM,100,Free,Male,0,0,5040,5420,5840,6570,7420,8670,10350
SCM,200,Free,Female,0,0,12425,13350,14150,15900,17450,20450,24600
SCM,200,Free,Male,0,0,11175,12050,12950,14650,16650,19050,13500
SCM,400,Free,Female,0,0,26300,27950,30050,34000,38850,0,0
SCM,400,Free,Male,0,0,23900,25550,27550,31150,36100,0,0
SCM,800,Free,Female,0,0,54000,58650,62600,70850,81600,0,0
SCM,800,Free,Male,0,0,49700,54250,57350,63350,75550,0,0
SCM,1500,Free,Female,0,0,104250,117000,122800,139800,169400,0,0
SCM,1500,Free,Male,0,0,93850,103350,109750,123150,146050,0,0
SCM,100,Medley,Female,0,0,6490,6770,7170,7680,8470,10770,12470
SCM,100,Medley,Male,0,0,5690,6170,6620,7220,7920,9970,11670
SCM,200,Medley,Female,0,0,14175,15250,16250,18300,20350,23050,27100
SCM,200,Medley,Male,0,0,12675,13550,14550,16350,18000,21550,24500
SCM,400,Medley,Female,0,0,30100,32400,34400,39400,43400,0,0
SCM,400,Medley,Male,0,0,27100,28950,30800,34950,39650,0,0
